SATV,SATM
420,470
480,520
510,560
480,490
480,370
490,450
590,590
520,560
570,490
540,500
490,500
520,540
540,540
550,620
410,310
560,640
540,510
500,530
520,460
500,460
500,350
480,470
570,520
480,420
540,550
470,450
600,620
450,450
490,510
540,570
470,390
480,480
490,600
520,560
490,430
510,510
450,410
450,440
550,530
550,580
480,440
460,480
480,490
490,510
530,530
520,550
560,590
470,410
400,480
590,560
410,320
490,430
510,460
400,350
540,550
540,520
490,490
540,640
380,350
510,420
430,450
400,440
500,450
490,570
400,370
500,490
540,530
490,480
460,350
460,450
520,560
380,320
510,480
470,440
520,470
390,350
500,490
470,550
500,510
520,550
470,510
520,480
480,330
520,560
490,530
340,300
460,420
540,610
500,510
560,570
480,460
490,480
460,450
540,490
520,560
520,530
520,560
510,450
420,360
560,540
560,630
480,500
550,520
570,570
570,680
470,470
560,550
430,420
620,690
530,530
470,390
480,450
480,490
390,370
470,570
480,490
530,620
510,520
410,430
440,490
480,540
510,420
610,690
560,570
460,380
420,430
500,480
490,500
380,440
570,580
490,390
460,570
540,520
500,490
450,420
520,570
450,460
500,480
500,540
420,420
510,530
520,570
560,600
540,620
490,450
550,630
520,480
510,530
440,480
580,610
480,520
470,320
470,550
420,440
470,450
510,550
560,610
530,450
500,430
440,470
410,330
580,570
490,530
510,540
480,520
500,490
570,580
520,560
540,550
490,510
480,470
490,490
460,430
520,560
560,560
390,260
470,400
540,600
520,460
480,480
480,520
470,490
550,530
550,510
530,560
480,430
510,560
460,410
450,440
530,490
580,610
470,470
420,490
470,490
530,530
590,590
480,480
540,590
570,550
530,550
470,510
500,580
540,600
470,490
530,550
420,370
480,560
520,600
370,380
460,460
440,450
500,500
520,520
540,580
470,500
520,610
510,560
470,380
580,610
550,500
420,370
440,390
420,400
470,390
560,560
500,490
570,540
530,510
560,520
560,580
490,500
510,540
460,410
520,500
520,470
420,440
500,420
570,690
490,440
460,440
500,500
480,420
420,350
480,460
460,430
550,570
490,570
460,520
510,510
500,530
480,530
440,450
390,470
540,560
500,470
510,450
570,680
540,480
550,540
550,560
500,500
510,530
540,490
420,460
380,350
520,570
480,430
510,560
420,540
410,380
490,530
510,560
440,470
450,440
520,480
520,610
480,430
540,480
520,540
510,550
490,530
410,390
450,420
500,420
560,640
410,380
550,510
540,530
570,610
490,450
530,480
540,600
500,580
470,470
470,490
510,490
510,450
490,410
470,470
480,480
470,450
450,460
510,540
490,500
550,630
500,530
560,550
490,500
530,420
570,610
560,570
490,480
530,370
540,560
580,720
470,570
560,640
530,400
600,630
430,460
450,410
520,540
470,520
430,430
480,480
520,500
470,510
520,570
540,410
540,670
500,590
490,470
510,570
460,410
460,410
550,550
560,510
470,390
540,540
530,540
500,600
540,560
520,500
470,370
570,600
530,510
550,680
530,480
460,500
570,510
480,490
400,270
530,440
380,250
550,610
520,460
550,620
490,490
540,550
480,490
570,580
450,440
470,570
570,560
480,420
430,330
560,540
470,410
540,660
